obj_000003,obj_000029,obj_000019,obj_000004,obj_000030,obj_000023,obj_000022,obj_000032,obj_000028,obj_000020
0.92526,0.948319,0.976216,0.949992,0.985949,0.966008,0.966208,0.939853,0.97738,0.970357
0.929069,0.940585,0.988821,0.949499,0.994152,0.992454,0.955671,0.932377,0.961,0.959003
0.990646,0.992026,0.998284,0.992753,0.994793,0.988786,0.99296,0.989923,0.994147,0.995906
0.981967,0.922292,0.897579,0.952337,0.966635,0.921297,0.954459,0.98378,0.906876,0.952363
0.974154,0.984722,0.981536,0.999558,0.995532,0.984168,0.999778,0.98721,0.999471,0.990043
0.956683,0.937005,0.986392,0.978735,0.983188,0.964001,0.970228,0.947861,0.970787,0.976271
0.993124,0.994429,0.995487,0.99954,0.992313,0.99928,0.995922,0.995252,0.998048,0.997607
0.973653,0.963215,0.971777,0.989568,0.990159,0.98069,0.985474,0.979927,0.987663,0.9829
0.933,0.957758,0.982168,0.988146,0.999734,0.97893,0.995854,0.976554,0.997061,0.983184
0.874685,0.884698,0.992555,0.997931,0.994568,0.980548,0.927294,0.959919,0.989558,0.937905
